account_id,borrower_id,dpd,risk_segment,loan_type,outstanding_amount,first_target_month,recovered_amount,analytical_grain
ACC0000001,BRW0010742,15,MEDIUM,CONSUMER,678074.03,2026-02,114222.84,account across observation period; monthly scorecard is account-month
ACC0000002,BRW0009382,5,LOW,BNPL,464893.44,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000003,BRW0003966,60,NPA,CREDIT_CARD,22565.37,2026-06,118181.69,account across observation period; monthly scorecard is account-month
ACC0000004,BRW0001993,30,LOW,PERSONAL,508427.73,2026-02,120763.0,account across observation period; monthly scorecard is account-month
ACC0000005,BRW0009976,180,LOW,CONSUMER,563858.01,,0.0,account across observation period; monthly scorecard is account-month
ACC0000006,,45,MEDIUM,BNPL,326675.14,2026-05,0.0,account across observation period; monthly scorecard is account-month
ACC0000007,BRW0000727,45,MEDIUM,BNPL,438792.97,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000008,BRW0011565,1,MEDIUM,PERSONAL,413180.65,2026-07,129255.53,account across observation period; monthly scorecard is account-month
ACC0000009,BRW0009929,0,NPA,AUTO,546432.13,2026-04,0.0,account across observation period; monthly scorecard is account-month
ACC0000010,BRW0010210,120,NPA,CREDIT_CARD,480229.21,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000011,BRW0008297,180,NPA,CONSUMER,443718.0,,98816.74,account across observation period; monthly scorecard is account-month
ACC0000012,BRW0000227,90,HIGH,CONSUMER,200739.85,,0.0,account across observation period; monthly scorecard is account-month
ACC0000013,BRW0011628,1,MEDIUM,BNPL,563492.59,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000014,BRW0000483,60,MEDIUM,BNPL,309754.88,2026-02,81878.72,account across observation period; monthly scorecard is account-month
ACC0000015,,180,NPA,CREDIT_CARD,571588.51,2026-01,43465.37,account across observation period; monthly scorecard is account-month
ACC0000016,BRW0007427,180,LOW,CREDIT_CARD,219141.72,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000017,BRW0011295,180,NPA,BNPL,5858.33,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000018,BRW0009176,45,LOW,PERSONAL,400488.89,,0.0,account across observation period; monthly scorecard is account-month
ACC0000019,BRW0006604,90,MEDIUM,BNPL,466998.79,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000020,BRW0009853,45,NPA,PERSONAL,45094.95,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000021,BRW0007548,1,HIGH,PERSONAL,360763.28,2026-02,261163.65,account across observation period; monthly scorecard is account-month
ACC0000022,BRW0008984,75,HIGH,CREDIT_CARD,164021.52,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000023,BRW0011800,60,HIGH,CREDIT_CARD,640336.97,2026-06,0.0,account across observation period; monthly scorecard is account-month
ACC0000024,BRW0004644,0,HIGH,CREDIT_CARD,541188.19,2026-05,0.0,account across observation period; monthly scorecard is account-month
ACC0000025,BRW0000342,5,LOW,PERSONAL,163102.81,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000026,BRW0007096,45,MEDIUM,CREDIT_CARD,340005.73,,0.0,account across observation period; monthly scorecard is account-month
ACC0000027,BRW0003569,75,HIGH,PERSONAL,84250.6,2026-04,0.0,account across observation period; monthly scorecard is account-month
ACC0000028,BRW0006881,1,LOW,AUTO,76946.8,2026-06,182165.47,account across observation period; monthly scorecard is account-month
ACC0000029,BRW0004858,60,NPA,CREDIT_CARD,397975.88,2026-03,54002.91,account across observation period; monthly scorecard is account-month
ACC0000030,BRW0008905,75,LOW,PERSONAL,430667.35,2026-06,0.0,account across observation period; monthly scorecard is account-month
ACC0000031,BRW0007251,120,MEDIUM,CONSUMER,52195.38,2026-05,0.0,account across observation period; monthly scorecard is account-month
ACC0000032,BRW0007025,75,HIGH,PERSONAL,163166.21,2026-06,148264.74,account across observation period; monthly scorecard is account-month
ACC0000033,BRW0009758,45,LOW,CONSUMER,537562.04,,0.0,account across observation period; monthly scorecard is account-month
ACC0000034,BRW0005128,15,NPA,AUTO,477990.41,,0.0,account across observation period; monthly scorecard is account-month
ACC0000035,BRW0002802,30,LOW,BNPL,376837.41,,0.0,account across observation period; monthly scorecard is account-month
ACC0000036,BRW0008512,30,NPA,CREDIT_CARD,43455.51,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000037,BRW0004042,30,NPA,AUTO,444063.0,,171367.8,account across observation period; monthly scorecard is account-month
ACC0000038,BRW0003902,120,NPA,BNPL,99202.51,,0.0,account across observation period; monthly scorecard is account-month
ACC0000039,BRW0008101,45,MEDIUM,PERSONAL,307479.36,2026-06,0.0,account across observation period; monthly scorecard is account-month
ACC0000040,BRW0001009,90,LOW,AUTO,51188.04,,99852.54,account across observation period; monthly scorecard is account-month
ACC0000041,BRW0009805,0,MEDIUM,PERSONAL,434086.27,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000042,BRW0002352,75,HIGH,CREDIT_CARD,398194.73,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000043,BRW0000499,45,MEDIUM,PERSONAL,10596.55,2026-03,11710.27,account across observation period; monthly scorecard is account-month
ACC0000044,BRW0009131,90,LOW,AUTO,93976.57,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000045,BRW0011298,1,LOW,PERSONAL,588888.35,2026-03,97321.33,account across observation period; monthly scorecard is account-month
ACC0000046,BRW0001750,30,LOW,CONSUMER,487057.57,2026-01,45021.98,account across observation period; monthly scorecard is account-month
ACC0000047,BRW0006449,90,LOW,CONSUMER,134904.57,,186011.51,account across observation period; monthly scorecard is account-month
ACC0000048,BRW0002427,0,LOW,CONSUMER,563305.29,2026-04,231156.78,account across observation period; monthly scorecard is account-month
ACC0000049,BRW0010045,15,MEDIUM,BNPL,418724.32,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000050,BRW0003242,15,NPA,BNPL,213884.7,2026-07,0.0,account across observation period; monthly scorecard is account-month
ACC0000051,BRW0009029,60,NPA,AUTO,580808.7,2026-01,33112.26,account across observation period; monthly scorecard is account-month
ACC0000052,BRW0011461,60,MEDIUM,CONSUMER,676258.98,2026-06,0.0,account across observation period; monthly scorecard is account-month
ACC0000053,BRW0003516,30,LOW,PERSONAL,480332.44,2026-06,0.0,account across observation period; monthly scorecard is account-month
ACC0000054,BRW0007506,15,MEDIUM,PERSONAL,647780.81,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000055,BRW0000196,45,LOW,AUTO,612365.44,2026-04,0.0,account across observation period; monthly scorecard is account-month
ACC0000056,BRW0008514,75,NPA,CONSUMER,374086.74,2026-07,0.0,account across observation period; monthly scorecard is account-month
ACC0000057,BRW0003852,180,HIGH,PERSONAL,318116.64,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000058,BRW0003122,30,MEDIUM,PERSONAL,341297.86,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000059,BRW0000845,120,LOW,PERSONAL,320475.94,,0.0,account across observation period; monthly scorecard is account-month
ACC0000060,BRW0003417,90,MEDIUM,CONSUMER,55517.34,,0.0,account across observation period; monthly scorecard is account-month
ACC0000061,BRW0005792,60,HIGH,CREDIT_CARD,212611.44,2026-06,100529.08,account across observation period; monthly scorecard is account-month
ACC0000062,BRW0006847,1,LOW,CREDIT_CARD,374609.37,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000063,BRW0003401,45,LOW,AUTO,681318.89,2026-06,0.0,account across observation period; monthly scorecard is account-month
ACC0000064,BRW0010395,90,MEDIUM,CREDIT_CARD,422050.66,2026-03,0.0,account across observation period; monthly scorecard is account-month
