raw_agent_id,canonical_agent_id,resolution_method,resolution_confidence
AGT0000760,EMP::EMP00323,employee_code,HIGH
AGT0000171,EMP::EMP00079,employee_code,HIGH
AGT0000766,EMP::EMP00030,employee_code,HIGH
AGT0000031,EMP::EMP00334,employee_code,HIGH
AGT0000669,EMP::EMP00014,employee_code,HIGH
AGT0000968,EMP::EMP00060,employee_code,HIGH
AGT0000155,EMP::EMP00636,employee_code,HIGH
AGT0000480,EMP::EMP00420,employee_code,HIGH
AGT0000404,EMP::EMP00148,employee_code,HIGH
AGT0000077,EMP::EMP00415,employee_code,HIGH
AGT0000515,EMP::EMP00365,employee_code,HIGH
AGT0000768,EMP::EMP00504,employee_code,HIGH
AGT0000880,EMP::EMP00616,employee_code,HIGH
AGT0000824,EMP::EMP00292,employee_code,HIGH
AGT0000319,EMP::EMP00319,employee_code,HIGH
AGT0000563,EMP::EMP00916,employee_code,HIGH
AGT0000325,EMP::EMP00585,employee_code,HIGH
AGT0000469,EMP::EMP00662,employee_code,HIGH
AGT0000260,EMP::EMP00707,employee_code,HIGH
AGT0000180,EMP::EMP01013,employee_code,HIGH
AGT0000358,EMP::EMP00700,employee_code,HIGH
AGT0000991,EMP::EMP00351,employee_code,HIGH
AGT0000145,EMP::EMP00644,employee_code,HIGH
AGT0000682,EMP::EMP00336,employee_code,HIGH
AGT0000984,EMP::EMP01091,employee_code,HIGH
AGT0000538,EMP::EMP01087,employee_code,HIGH
AGT0000277,EMP::EMP00190,employee_code,HIGH
AGT0000194,EMP::EMP00314,employee_code,HIGH
AGT0000123,EMP::EMP00735,employee_code,HIGH
AGT0000448,EMP::EMP00668,employee_code,HIGH
AGT0000674,EMP::EMP00919,employee_code,HIGH
AGT0001000,EMP::EMP00596,employee_code,HIGH
AGT0000556,EMP::EMP00707,employee_code,HIGH
AGT0000265,EMP::EMP00027,employee_code,HIGH
AGT0000488,EMP::EMP00779,employee_code,HIGH
AGT0000242,EMP::EMP01074,employee_code,HIGH
AGT0000058,EMP::EMP00286,employee_code,HIGH
AGT0000454,EMP::EMP00974,employee_code,HIGH
AGT0000692,EMP::EMP00678,employee_code,HIGH
AGT0000968,EMP::EMP00585,employee_code,HIGH
AGT0000996,EMP::EMP00214,employee_code,HIGH
AGT0000462,EMP::EMP01003,employee_code,HIGH
AGT0000221,EMP::EMP00778,employee_code,HIGH
AGT0000546,EMP::EMP00427,employee_code,HIGH
AGT0000397,EMP::EMP00806,employee_code,HIGH
AGT0000457,EMP::EMP00996,employee_code,HIGH
AGT0000878,EMP::EMP00001,employee_code,HIGH
AGT0000276,EMP::EMP00478,employee_code,HIGH
AGT0000038,EMP::EMP00854,employee_code,HIGH
AGT0000838,EMP::EMP00415,employee_code,HIGH
AGT0000139,EMP::EMP00999,employee_code,HIGH
