raw_borrower_id,canonical_borrower_id,resolution_method,resolution_confidence,account_count
BRW0001072,BRW::BRW0001072,stable_borrower_id,HIGH,
BRW0009288,BRW::BRW0009288,stable_borrower_id,HIGH,2.0
BRW0007855,BRW::BRW0007855,stable_borrower_id,HIGH,1.0
BRW0005267,BRW::BRW0005267,stable_borrower_id,HIGH,2.0
BRW0005197,BRW::BRW0005197,stable_borrower_id,HIGH,1.0
BRW0010304,BRW::BRW0010304,stable_borrower_id,HIGH,4.0
BRW0001032,BRW::BRW0001032,stable_borrower_id,HIGH,2.0
BRW0008369,BRW::BRW0008369,stable_borrower_id,HIGH,1.0
BRW0002418,BRW::BRW0002418,stable_borrower_id,HIGH,2.0
BRW0001131,BRW::BRW0001131,stable_borrower_id,HIGH,1.0
BRW0006318,BRW::BRW0006318,stable_borrower_id,HIGH,3.0
BRW0011708,BRW::BRW0011708,stable_borrower_id,HIGH,1.0
BRW0008830,BRW::BRW0008830,stable_borrower_id,HIGH,1.0
BRW0009134,BRW::BRW0009134,stable_borrower_id,HIGH,4.0
BRW0008610,BRW::BRW0008610,stable_borrower_id,HIGH,8.0
BRW0009433,BRW::BRW0009433,stable_borrower_id,HIGH,3.0
BRW0006159,BRW::BRW0006159,stable_borrower_id,HIGH,4.0
BRW0001538,BRW::BRW0001538,stable_borrower_id,HIGH,2.0
BRW0010077,BRW::BRW0010077,stable_borrower_id,HIGH,2.0
BRW0005405,BRW::BRW0005405,stable_borrower_id,HIGH,1.0
BRW0006005,BRW::BRW0006005,stable_borrower_id,HIGH,4.0
BRW0004450,BRW::BRW0004450,stable_borrower_id,HIGH,3.0
BRW0002191,BRW::BRW0002191,stable_borrower_id,HIGH,
BRW0011122,BRW::BRW0011122,stable_borrower_id,HIGH,5.0
BRW0009379,BRW::BRW0009379,stable_borrower_id,HIGH,1.0
BRW0007727,BRW::BRW0007727,stable_borrower_id,HIGH,4.0
BRW0004829,BRW::BRW0004829,stable_borrower_id,HIGH,2.0
BRW0009874,BRW::BRW0009874,stable_borrower_id,HIGH,2.0
BRW0006546,BRW::BRW0006546,stable_borrower_id,HIGH,
BRW0005321,BRW::BRW0005321,stable_borrower_id,HIGH,2.0
BRW0005406,BRW::BRW0005406,stable_borrower_id,HIGH,2.0
BRW0002727,BRW::BRW0002727,stable_borrower_id,HIGH,4.0
BRW0001106,BRW::BRW0001106,stable_borrower_id,HIGH,6.0
BRW0006656,BRW::BRW0006656,stable_borrower_id,HIGH,5.0
BRW0010655,BRW::BRW0010655,stable_borrower_id,HIGH,2.0
BRW0000766,BRW::BRW0000766,stable_borrower_id,HIGH,2.0
BRW0010300,BRW::BRW0010300,stable_borrower_id,HIGH,6.0
BRW0009932,BRW::BRW0009932,stable_borrower_id,HIGH,
BRW0003322,BRW::BRW0003322,stable_borrower_id,HIGH,4.0
BRW0007580,BRW::BRW0007580,stable_borrower_id,HIGH,3.0
BRW0001983,BRW::BRW0001983,stable_borrower_id,HIGH,2.0
BRW0009098,BRW::BRW0009098,stable_borrower_id,HIGH,1.0
BRW0008407,BRW::BRW0008407,stable_borrower_id,HIGH,1.0
BRW0004255,BRW::BRW0004255,stable_borrower_id,HIGH,
BRW0000816,BRW::BRW0000816,stable_borrower_id,HIGH,5.0
BRW0011649,BRW::BRW0011649,stable_borrower_id,HIGH,5.0
BRW0005349,BRW::BRW0005349,stable_borrower_id,HIGH,2.0
BRW0010718,BRW::BRW0010718,stable_borrower_id,HIGH,
BRW0008136,BRW::BRW0008136,stable_borrower_id,HIGH,
BRW0009341,BRW::BRW0009341,stable_borrower_id,HIGH,2.0
BRW0009119,BRW::BRW0009119,stable_borrower_id,HIGH,6.0
BRW0002336,BRW::BRW0002336,stable_borrower_id,HIGH,2.0
BRW0004367,BRW::BRW0004367,stable_borrower_id,HIGH,2.0
BRW0005601,BRW::BRW0005601,stable_borrower_id,HIGH,2.0
BRW0005974,BRW::BRW0005974,stable_borrower_id,HIGH,1.0
BRW0000526,BRW::BRW0000526,stable_borrower_id,HIGH,8.0
BRW0006559,BRW::BRW0006559,stable_borrower_id,HIGH,1.0
BRW0001852,BRW::BRW0001852,stable_borrower_id,HIGH,2.0
BRW0008921,BRW::BRW0008921,stable_borrower_id,HIGH,2.0
