target_id,account_id,campaign_id,target_date,priority,recommended_channel,status,target_date_parsed,month
TGT0000001,ACC0028555,CMP0000103,2026-04-22,4,FIELD,QUEUED,2026-04-22,2026-04
TGT0000002,ACC0007194,CMP0000100,2026-08-06,10,SMS,EXPIRED,2026-08-06,2026-08
TGT0000003,ACC0029550,CMP0000074,2026-05-20,5,SMS,CONTACTED,2026-05-20,2026-05
TGT0000004,ACC0012329,CMP0000046,2026-07-30,10,WHATSAPP,QUEUED,2026-07-30,2026-07
TGT0000005,ACC0018387,CMP0000118,2026-07-10,7,WHATSAPP,EXPIRED,2026-07-10,2026-07
TGT0000006,ACC0002016,CMP0000024,2026-03-07,6,FIELD,QUEUED,2026-03-07,2026-03
TGT0000007,ACC0019181,CMP0000038,2026-04-20,7,SMS,QUEUED,2026-04-20,2026-04
TGT0000008,ACC0004874,CMP0000107,2026-02-19,1,FIELD,EXPIRED,2026-02-19,2026-02
TGT0000009,ACC0012866,CMP0000109,2026-06-07,8,SMS,CONTACTED,2026-06-07,2026-06
TGT0000010,ACC0027621,CMP0000092,2026-06-07,8,WHATSAPP,SKIPPED,2026-06-07,2026-06
TGT0000011,ACC0016883,CMP0000119,2026-06-08,6,FIELD,EXPIRED,2026-06-08,2026-06
TGT0000012,ACC0018474,CMP0000008,2026-06-19,9,FIELD,CONTACTED,2026-06-19,2026-06
TGT0000013,ACC0019970,CMP0000081,2026-07-18,6,FIELD,QUEUED,2026-07-18,2026-07
TGT0000014,ACC0013902,CMP0000001,2026-07-18,9,WHATSAPP,EXPIRED,2026-07-18,2026-07
TGT0000015,ACC0000665,CMP0000068,2026-07-05,9,FIELD,SKIPPED,2026-07-05,2026-07
TGT0000016,ACC0008206,CMP0000113,2026-06-27,8,FIELD,CONTACTED,2026-06-27,2026-06
TGT0000017,ACC0005262,CMP0000002,2026-02-13,10,VOICE,QUEUED,2026-02-13,2026-02
TGT0000018,ACC0011994,CMP0000078,2026-01-22,4,FIELD,QUEUED,2026-01-22,2026-01
TGT0000019,ACC0001320,CMP0000119,2026-06-21,7,VOICE,EXPIRED,2026-06-21,2026-06
TGT0000020,ACC0023988,CMP0000058,2026-01-18,6,WHATSAPP,SKIPPED,2026-01-18,2026-01
TGT0000021,ACC0002648,CMP0000094,2026-02-05,3,WHATSAPP,SKIPPED,2026-02-05,2026-02
TGT0000022,ACC0018769,CMP0000014,2026-05-24,10,VOICE,CONTACTED,2026-05-24,2026-05
TGT0000023,ACC0024825,CMP0000013,2026-03-17,3,SMS,CONTACTED,2026-03-17,2026-03
TGT0000024,ACC0003886,CMP0000102,2026-03-06,9,VOICE,SKIPPED,2026-03-06,2026-03
TGT0000025,ACC0010488,CMP0000064,2026-04-01,5,WHATSAPP,CONTACTED,2026-04-01,2026-04
