dataset,column,value,count
borrowers,name,Rohan Patel,3144
borrowers,name,Amit Kumar,3119
borrowers,name,Vikram Shah,3078
borrowers,name,Rahul Verma,3076
borrowers,name,Aarav Sharma,3058
borrowers,name,Ananya Rao,3052
borrowers,name,Pooja Nair,3050
borrowers,name,Priya Mehta,3034
borrowers,name,Neha Singh,3004
borrowers,name,Sneha Das,2985
borrowers,city,Delhi,3171
borrowers,city,Hyderabad,3119
borrowers,city,Bhubaneswar,3094
borrowers,city,Pune,3090
borrowers,city,Bengaluru,3074
borrowers,city,Chennai,3073
borrowers,city,Gurugram,3054
borrowers,city,Jaipur,3003
borrowers,city,Mumbai,3002
borrowers,city,Kolkata,2920
borrowers,state,Maharashtra,6092
borrowers,state,Delhi,3171
borrowers,state,Telangana,3119
borrowers,state,Odisha,3094
borrowers,state,Karnataka,3074
borrowers,state,Tamil Nadu,3073
borrowers,state,Haryana,3054
borrowers,state,Rajasthan,3003
borrowers,state,West Bengal,2920
accounts,loan_type,CREDIT_CARD,6080
accounts,loan_type,AUTO,6079
accounts,loan_type,PERSONAL,5983
accounts,loan_type,CONSUMER,5930
accounts,loan_type,BNPL,5928
accounts,dpd,60,2770
accounts,dpd,120,2759
accounts,dpd,45,2744
accounts,dpd,75,2741
accounts,dpd,15,2736
accounts,dpd,5,2727
accounts,dpd,90,2727
accounts,dpd,1,2713
accounts,dpd,30,2704
accounts,dpd,180,2694
accounts,dpd,0,2685
accounts,risk_segment,HIGH,7552
accounts,risk_segment,MEDIUM,7533
accounts,risk_segment,LOW,7513
accounts,risk_segment,NPA,7402
accounts,status,ACTIVE,7539
accounts,status,CLOSED,7496
accounts,status,PAID,7486
accounts,status,WRITEOFF,7479
accounts,timezone,UTC,10096
accounts,timezone,Asia/Kolkata,9981
accounts,timezone,Asia/Dubai,9923
accounts,schema_version,v1,10152
accounts,schema_version,v2,10026
accounts,schema_version,v3,9822
agents,agent_name,Sneha Das,3151
agents,agent_name,Amit Kumar,3119
agents,agent_name,Priya Mehta,3072
agents,agent_name,Neha Singh,3003
agents,agent_name,Vikram Shah,2986
agents,agent_name,Aarav Sharma,2981
agents,agent_name,Rohan Patel,2956
agents,agent_name,Ananya Rao,2939
agents,agent_name,Pooja Nair,2929
agents,agent_name,Rahul Verma,2864
agents,vendor_id,VND0000014,2069
agents,vendor_id,VND0000007,2032
agents,vendor_id,VND0000012,2026
agents,vendor_id,VND0000008,2026
agents,vendor_id,VND0000004,2024
agents,vendor_id,VND0000010,2023
agents,vendor_id,VND0000006,2017
agents,vendor_id,VND0000005,1996
agents,vendor_id,VND0000009,1989
agents,vendor_id,VND0000001,1978
agents,vendor_id,VND0000003,1976
agents,vendor_id,VND0000015,1974
agents,vendor_id,VND0000011,1963
agents,vendor_id,VND0000013,1957
agents,vendor_id,VND0000002,1950
agents,team,T1,6095
agents,team,T2,6005
agents,team,FIELD,6002
agents,team,DIGITAL,5954
agents,team,T3,5944
agents,status,ACTIVE,10083
agents,status,INACTIVE,10066
agents,status,SUSPENDED,9851
agent_sessions,channel,WHATSAPP,3810
agent_sessions,channel,FIELD,3796
agent_sessions,channel,VOICE,3740
agent_sessions,channel,SMS,3654
agent_sessions,timezone,Asia/Kolkata,7506
agent_sessions,timezone,UTC,7494
agent_sessions,month,2026-07,2142
agent_sessions,month,2026-03,2116
agent_sessions,month,2026-01,2095
agent_sessions,month,2026-06,2054
agent_sessions,month,2026-05,2048
agent_sessions,month,2026-04,2039
agent_sessions,month,2026-02,1983
agent_sessions,month,2026-08,523
campaigns,campaign_name,30DPD_W1,28
campaigns,campaign_name,NPA_RECOVERY,28
campaigns,campaign_name,BOUNCE,25
campaigns,campaign_name,DIGITAL_FOLLOWUP,21
campaigns,campaign_name,60DPD_INTENT,18
campaigns,channel,WHATSAPP,31
campaigns,channel,SMS,28
campaigns,channel,MIXED,23
campaigns,channel,VOICE,20
campaigns,channel,FIELD,18
campaigns,strategy_version,legacy,37
campaigns,strategy_version,v3,32
campaigns,strategy_version,v2,27
campaigns,strategy_version,v1,24
campaigns,target_definition,DPD>=60,31
campaigns,target_definition,HIGH_RISK,25
campaigns,target_definition,PROMISE_BROKEN,24
campaigns,target_definition,DPD>=30,22
campaigns,target_definition,NPA,18
daily_targeting,priority,7,4641
daily_targeting,priority,8,4587
daily_targeting,priority,9,4539
daily_targeting,priority,2,4539
daily_targeting,priority,1,4531
daily_targeting,priority,3,4520
daily_targeting,priority,10,4452
daily_targeting,priority,6,4432
daily_targeting,priority,5,4401
daily_targeting,priority,4,4358
daily_targeting,recommended_channel,FIELD,11365
daily_targeting,recommended_channel,SMS,11221
daily_targeting,recommended_channel,WHATSAPP,11212
daily_targeting,recommended_channel,VOICE,11202
daily_targeting,status,EXPIRED,11371
daily_targeting,status,CONTACTED,11254
daily_targeting,status,QUEUED,11202
daily_targeting,status,SKIPPED,11173
daily_targeting,month,2026-05,6442
daily_targeting,month,2026-01,6369
daily_targeting,month,2026-03,6290
daily_targeting,month,2026-07,6230
daily_targeting,month,2026-04,6205
daily_targeting,month,2026-06,6154
daily_targeting,month,2026-02,5709
daily_targeting,month,2026-08,1601
calls,direction,OUTBOUND,84151
calls,direction,INBOUND,7199
calls,vendor_id,VND0000010,6248
calls,vendor_id,VND0000011,6177
calls,vendor_id,VND0000005,6153
calls,vendor_id,VND0000015,6150
calls,vendor_id,VND0000007,6138
calls,vendor_id,VND0000014,6132
calls,vendor_id,VND0000001,6128
calls,vendor_id,VND0000012,6094
calls,vendor_id,VND0000003,6068
calls,vendor_id,VND0000009,6061
calls,vendor_id,VND0000002,6026
calls,vendor_id,VND0000004,6023
calls,vendor_id,VND0000008,5989
calls,vendor_id,VND0000006,5989
calls,vendor_id,VND0000013,5974
calls,call_status,NO_ANSWER,18363
calls,call_status,BUSY,18330
calls,call_status,FAILED,18276
calls,call_status,VOICEMAIL,18235
calls,call_status,ANSWERED,18146
