dataset,timestamp_column,min_timestamp,max_timestamp,invalid_timestamp_count
borrowers,created_at,2025-01-01 00:14:38,2026-08-03 23:37:55,0
borrowers,updated_at,2025-01-01 00:19:40,2026-08-03 23:48:36,0
accounts,opened_at,2024-01-01 00:02:27,2025-11-30 23:52:36,0
agents,joined_at,2024-01-01 00:10:05,2025-11-30 23:23:30,0
agents,updated_at,2025-01-01 00:57:32,2026-08-03 23:45:38,0
agent_sessions,login_at,2026-01-01 00:01:57,2026-08-08 23:51:54,0
agent_sessions,logout_at,2026-01-01 04:48:48,2026-08-09 07:50:12,0
campaigns,start_at,2026-01-01 09:34:51,2026-05-29 20:31:27,0
campaigns,end_at,2026-01-16 12:12:50,2026-08-16 18:13:39,0
daily_targeting,target_date,2026-01-01 00:00:00,2026-08-08 00:00:00,0
calls,event_at,2025-12-29 06:52:37,2026-08-12 15:43:05,0
call_attempts,event_at,2026-01-01 00:01:18,2026-08-08 23:58:40,0
call_dispositions,event_at,2026-01-01 00:10:00,2026-08-08 23:50:50,0
whatsapp_events,event_at,2026-01-01 00:01:49,2026-08-08 23:56:16,0
sms_events,event_at,2026-01-01 00:04:16,2026-08-08 23:46:06,0
field_visits,event_at,2026-01-01 00:07:53,2026-08-08 23:50:03,0
field_visits,scheduled_at,2025-12-31 05:21:55,2026-08-08 21:50:07,250
promises_to_pay,event_at,2026-01-01 00:24:14,2026-08-08 23:59:33,0
promises_to_pay,promised_date,2026-01-02 04:36:18,2026-09-06 21:23:52,0
payments,event_at,2026-01-01 00:14:40,2026-08-08 23:50:23,0
complaints,event_at,2026-01-01 00:38:02,2026-08-08 23:35:33,0
complaints,resolution_at,2026-01-02 07:36:01,2026-08-26 13:22:27,0
account_status_history,event_at,2026-01-01 00:01:08,2026-08-08 23:50:45,0
account_status_history,recorded_at,2025-12-31 01:26:29,2026-08-09 22:02:27,0
