dataset,foreign_key,rows,matched_rows,unmatched_rows,null_fk_rows,match_rate
agent_sessions,agent_id,15000,15000,0,0,1.0
daily_targeting,account_id,45000,45000,0,0,1.0
daily_targeting,campaign_id,45000,45000,0,0,1.0
calls,account_id,91350,91350,0,0,1.0
calls,borrower_id,91350,83899,7451,0,0.918435
calls,agent_id,91350,89523,0,1827,0.98
calls,campaign_id,91350,91350,0,0,1.0
calls,vendor_id,91350,91350,0,0,1.0
call_attempts,account_id,120000,120000,0,0,1.0
call_attempts,borrower_id,120000,110222,9778,0,0.918517
call_attempts,agent_id,120000,120000,0,0,1.0
call_attempts,vendor_id,120000,117600,0,2400,0.98
call_dispositions,account_id,35000,35000,0,0,1.0
call_dispositions,borrower_id,35000,32263,2737,0,0.9218
call_dispositions,agent_id,35000,35000,0,0,1.0
whatsapp_events,account_id,60600,60600,0,0,1.0
whatsapp_events,borrower_id,60600,55675,4925,0,0.918729
sms_events,account_id,45000,45000,0,0,1.0
sms_events,borrower_id,45000,41219,3781,0,0.915978
field_visits,account_id,25000,25000,0,0,1.0
field_visits,borrower_id,25000,22905,2095,0,0.9162
field_visits,agent_id,25000,25000,0,0,1.0
promises_to_pay,account_id,18000,18000,0,0,1.0
promises_to_pay,borrower_id,18000,16556,1444,0,0.919778
promises_to_pay,agent_id,18000,18000,0,0,1.0
payments,account_id,25500,25500,0,0,1.0
payments,borrower_id,25500,23422,2078,0,0.91851
complaints,account_id,8000,8000,0,0,1.0
complaints,borrower_id,8000,7307,693,0,0.913375
account_status_history,account_id,60000,60000,0,0,1.0
account_status_history,borrower_id,60000,54987,5013,0,0.91645
