dataset,rows,columns,memory_mb,min_event_date,max_event_date
borrowers,30600,8,4.914,2025-01-01 00:14:38,2026-08-03 23:48:36
accounts,30000,11,4.971,2024-01-01 00:02:27,2025-11-30 23:52:36
agents,30000,8,4.341,2024-01-01 00:10:05,2026-08-03 23:45:38
agent_sessions,15000,11,2.486,2026-01-01 00:01:57,2026-08-09 07:50:12
campaigns,120,7,0.015,2026-01-01 09:34:51,2026-08-16 18:13:39
daily_targeting,45000,9,5.691,2026-01-01 00:00:00,2026-08-08 00:00:00
calls,91350,19,27.93,2025-12-29 06:52:37,2026-08-12 15:43:05
call_attempts,120000,17,33.652,2026-01-01 00:01:18,2026-08-08 23:58:40
call_dispositions,35000,16,9.474,2026-01-01 00:10:00,2026-08-08 23:50:50
whatsapp_events,60600,16,16.973,2026-01-01 00:01:49,2026-08-08 23:56:16
sms_events,45000,16,12.365,2026-01-01 00:04:16,2026-08-08 23:46:06
field_visits,25000,18,8.145,2025-12-31 05:21:55,2026-08-08 23:50:03
promises_to_pay,18000,17,5.127,2026-01-01 00:24:14,2026-09-06 21:23:52
payments,25500,17,7.25,2026-01-01 00:14:40,2026-08-08 23:50:23
vendor_telephony,15,6,0.001,,
complaints,8000,17,2.312,2026-01-01 00:38:02,2026-08-26 13:22:27
account_status_history,60000,16,16.411,2025-12-31 01:26:29,2026-08-09 22:02:27
