dataset,primary_key,row_count,unique_count,duplicate_count,null_key_count
borrowers,borrower_id,30600,11015,19585,0
accounts,account_id,30000,30000,0,0
agents,agent_id,30000,1000,29000,0
agent_sessions,session_id,15000,15000,0,0
campaigns,campaign_id,120,120,0,0
daily_targeting,target_id,45000,45000,0,0
calls,call_id,91350,90000,1350,0
call_attempts,attempt_id,120000,120000,0,0
call_dispositions,disposition_id,35000,35000,0,0
whatsapp_events,whatsapp_event_id,60600,60000,600,0
sms_events,sms_event_id,45000,45000,0,0
field_visits,visit_id,25000,25000,0,0
promises_to_pay,ptp_id,18000,18000,0,0
payments,payment_id,25500,25000,500,0
vendor_telephony,vendor_id,15,15,0,0
complaints,complaint_id,8000,8000,0,0
account_status_history,history_id,60000,60000,0,0
