dataset,column,dtype,examples
borrowers,borrower_id,str,BRW0001072; BRW0009288; BRW0007855
borrowers,name,str,Rahul Verma; Neha Singh; Vikram Shah
borrowers,phone,str,9037419103; 9154912663; 9986754580
borrowers,email,str,user9183@example.com; user9581@example.com; user19407@example.com
borrowers,city,str,Bhubaneswar; Gurugram; Hyderabad
borrowers,created_at,str,2025-09-25 08:02:29; 2025-06-29 04:32:01; 2025-11-23 20:30:50
borrowers,updated_at,str,2026-07-25 22:25:48; 2025-03-04 12:15:30; 2025-01-07 21:07:17
borrowers,state,str,Odisha; Haryana; Telangana
accounts,account_id,str,ACC0000001; ACC0000002; ACC0000003
accounts,borrower_id,str,BRW0010742; BRW0009382; BRW0003966
accounts,loan_type,str,CONSUMER; BNPL; CREDIT_CARD
accounts,principal_amount,str,603443.4; 277190.14; 628658.43
accounts,outstanding_amount,str,678074.03; 464893.44; 22565.37
accounts,dpd,str,15; 5; 60
accounts,risk_segment,str,MEDIUM; LOW; NPA
accounts,status,str,CLOSED; ACTIVE; WRITEOFF
accounts,opened_at,str,2025-11-11 04:37:00; 2025-11-13 15:59:44; 2025-09-12 04:59:20
accounts,timezone,str,Asia/Dubai; UTC; Asia/Kolkata
accounts,schema_version,str,v1; v3; v2
agents,agent_id,str,AGT0000760; AGT0000171; AGT0000766
agents,employee_code,str,EMP00323; EMP00079; EMP00030
agents,agent_name,str,Vikram Shah; Pooja Nair; Sneha Das
agents,vendor_id,str,VND0000012; VND0000002; VND0000007
agents,team,str,T3; T1; FIELD
agents,status,str,INACTIVE; SUSPENDED; ACTIVE
agents,joined_at,str,2025-06-19 20:30:53; 2025-08-26 11:06:26; 2024-05-30 11:23:06
agents,updated_at,str,2025-12-11 03:40:22; 2025-10-11 08:30:33; 2026-05-16 03:02:02
agent_sessions,session_id,str,SES0000001; SES0000002; SES0000003
agent_sessions,agent_id,str,AGT0000117; AGT0000847; AGT0000989
agent_sessions,login_at,str,2026-08-06 13:33:27; 2026-05-27 02:02:28; 2026-08-01 20:33:44
agent_sessions,channel,str,VOICE; FIELD; SMS
agent_sessions,device_id,str,DEV00243; DEV01359; DEV01432
agent_sessions,timezone,str,Asia/Kolkata; UTC
agent_sessions,logout_at,str,2026-08-06 18:41:13; 2026-05-27 09:02:31; 2026-08-02 05:53:43
agent_sessions,login_at_parsed,datetime64[us],2026-08-06 13:33:27; 2026-05-27 02:02:28; 2026-08-01 20:33:44
agent_sessions,logout_at_parsed,datetime64[us],2026-08-06 18:41:13; 2026-05-27 09:02:31; 2026-08-02 05:53:43
agent_sessions,session_hours,float64,5.129444444444444; 7.0008333333333335; 9.333055555555555
agent_sessions,month,str,2026-08; 2026-05; 2026-01
campaigns,campaign_id,str,CMP0000001; CMP0000002; CMP0000003
campaigns,campaign_name,str,DIGITAL_FOLLOWUP; BOUNCE; 30DPD_W1
campaigns,channel,str,FIELD; MIXED; VOICE
campaigns,strategy_version,str,legacy; v2; v1
campaigns,start_at,str,2026-02-17 06:56:01; 2026-04-30 17:51:31; 2026-04-11 16:02:51
campaigns,target_definition,str,DPD>=30; DPD>=60; PROMISE_BROKEN
campaigns,end_at,str,2026-04-24 06:56:01; 2026-05-18 17:51:31; 2026-05-18 16:02:51
daily_targeting,target_id,str,TGT0000001; TGT0000002; TGT0000003
daily_targeting,account_id,str,ACC0028555; ACC0007194; ACC0029550
daily_targeting,campaign_id,str,CMP0000103; CMP0000100; CMP0000074
daily_targeting,target_date,str,2026-04-22; 2026-08-06; 2026-05-20
daily_targeting,priority,str,4; 10; 5
daily_targeting,recommended_channel,str,FIELD; SMS; WHATSAPP
daily_targeting,status,str,QUEUED; EXPIRED; CONTACTED
daily_targeting,target_date_parsed,datetime64[us],2026-04-22; 2026-08-06; 2026-05-20
daily_targeting,month,str,2026-04; 2026-08; 2026-05
calls,call_id,str,CALL0000001; CALL0000002; CALL0000003
calls,account_id,str,ACC0011505; ACC0002025; ACC0013375
calls,borrower_id,str,BRW0007139; BRW0006253; BRW0007663
calls,event_at,str,2026-07-15 15:36:22; 2026-06-10 06:48:27; 2026-04-07 00:35:35
calls,agent_id,str,AGT0000955; AGT0000853; AGT0000525
calls,campaign_id,str,CMP0000015; CMP0000060; CMP0000053
calls,direction,str,OUTBOUND; INBOUND
calls,vendor_id,str,VND0000013; VND0000001; VND0000008
calls,call_status,str,NO_ANSWER; ANSWERED; FAILED
calls,duration_sec,str,601; 224; 7
calls,timezone,str,Asia/Dubai; Asia/Kolkata; UTC
calls,event_at_raw,str,2026-07-15 15:36:22; 2026-06-10 06:48:27; 2026-04-07 00:35:35
calls,event_at_parsed,datetime64[us],2026-07-15 15:36:22; 2026-06-10 06:48:27; 2026-04-07 00:35:35
calls,timezone_raw,str,Asia/Dubai; Asia/Kolkata; UTC
calls,event_at_utc,"datetime64[us, UTC]",2026-07-15 11:36:22+00:00; 2026-06-10 01:18:27+00:00; 2026-04-06 20:35:35+00:00
calls,event_at_local,"datetime64[us, Asia/Kolkata]",2026-07-15 17:06:22+05:30; 2026-06-10 06:48:27+05:30; 2026-04-07 02:05:35+05:30
calls,event_at_date_local,object,2026-07-15; 2026-06-10; 2026-04-07
calls,event_at_hour_local,int32,17; 6; 2
calls,month,str,2026-07; 2026-06; 2026-04
call_attempts,attempt_id,str,ATTEMPT0000001; ATTEMPT0000002; ATTEMPT0000003
call_attempts,account_id,str,ACC0009527; ACC0007960; ACC0016476
