canonical_agent_id,tenure_bucket,calls,contacted,avg_duration_sec,contact_rate
EMP::EMP00001,31-90d,16,3,415.88235294117646,0.1875
EMP::EMP00001,91-180d,120,21,489.65833333333336,0.175
EMP::EMP00001,181-365d,396,80,463.74,0.20202020202020202
EMP::EMP00001,365d+,1911,373,456.42214174857736,0.19518576661433804
EMP::EMP00002,31-90d,43,7,476.93023255813955,0.16279069767441862
EMP::EMP00002,91-180d,142,31,478.15384615384613,0.21830985915492956
EMP::EMP00002,181-365d,561,115,457.493848857645,0.20499108734402852
EMP::EMP00002,365d+,1358,279,441.91575889615103,0.20544918998527245
EMP::EMP00003,91-180d,49,13,442.08,0.2653061224489796
EMP::EMP00003,181-365d,334,66,460.5806451612903,0.19760479041916168
EMP::EMP00003,365d+,1925,367,451.6671810699589,0.19064935064935065
EMP::EMP00004,31-90d,6,1,619.8333333333334,0.16666666666666666
EMP::EMP00004,91-180d,111,26,466.56140350877195,0.23423423423423423
EMP::EMP00004,181-365d,380,89,457.1614583333333,0.23421052631578948
EMP::EMP00004,365d+,1043,206,457.5661625708885,0.1975071907957814
EMP::EMP00005,31-90d,36,11,480.52777777777777,0.3055555555555556
EMP::EMP00005,91-180d,199,29,472.2216748768473,0.1457286432160804
EMP::EMP00005,181-365d,681,129,452.95645863570394,0.1894273127753304
EMP::EMP00005,365d+,1726,350,457.4663242009132,0.20278099652375434
EMP::EMP00006,31-90d,21,2,431.76190476190476,0.09523809523809523
EMP::EMP00006,91-180d,122,14,422.1209677419355,0.11475409836065574
EMP::EMP00006,181-365d,541,100,443.91009174311927,0.18484288354898337
EMP::EMP00006,365d+,1435,301,446.58,0.2097560975609756
EMP::EMP00007,31-90d,59,12,452.2881355932203,0.2033898305084746
EMP::EMP00007,91-180d,197,43,432.3186274509804,0.2182741116751269
EMP::EMP00007,181-365d,362,82,439.6666666666667,0.2265193370165746
EMP::EMP00007,365d+,1302,283,453.863978127136,0.217357910906298
EMP::EMP00008,31-90d,36,10,419.27777777777777,0.2777777777777778
EMP::EMP00008,91-180d,180,37,437.31491712707185,0.20555555555555555
EMP::EMP00008,181-365d,1006,206,453.6297747306562,0.2047713717693837
EMP::EMP00008,365d+,1535,338,453.0624597553123,0.2201954397394137
EMP::EMP00009,91-180d,128,29,441.765625,0.2265625
EMP::EMP00009,181-365d,862,177,459.9106529209622,0.20533642691415313
EMP::EMP00009,365d+,1940,397,446.98936170212767,0.20463917525773195
EMP::EMP00010,31-90d,4,1,583.25,0.25
EMP::EMP00010,91-180d,50,13,439.92,0.26
EMP::EMP00010,181-365d,516,90,427.51637764932565,0.1744186046511628
EMP::EMP00010,365d+,1303,266,445.2067924528302,0.20414428242517269
EMP::EMP00011,91-180d,54,8,416.2962962962963,0.14814814814814814
EMP::EMP00011,181-365d,619,115,443.2332268370607,0.18578352180936994
EMP::EMP00011,365d+,1397,252,449.3540197461213,0.180386542591267
EMP::EMP00012,91-180d,109,27,485.7909090909091,0.24770642201834864
EMP::EMP00012,181-365d,407,81,437.9685990338164,0.19901719901719903
EMP::EMP00012,365d+,897,177,451.5832414553473,0.19732441471571907
EMP::EMP00013,31-90d,15,3,441.06666666666666,0.2
EMP::EMP00013,91-180d,41,7,416.9756097560976,0.17073170731707318
EMP::EMP00013,181-365d,335,65,442.65204678362574,0.19402985074626866
EMP::EMP00013,365d+,2445,467,442.43109682603455,0.19100204498977505
EMP::EMP00014,181-365d,379,76,443.33246753246755,0.20052770448548812
EMP::EMP00014,365d+,931,201,448.02453385672226,0.2158968850698174
EMP::EMP00015,31-90d,29,7,444.51724137931035,0.2413793103448276
EMP::EMP00015,91-180d,102,17,502.59223300970876,0.16666666666666666
EMP::EMP00015,181-365d,678,127,452.34302325581393,0.1873156342182891
EMP::EMP00015,365d+,1480,307,452.0487316421896,0.20743243243243242
EMP::EMP00016,31-90d,77,21,423.06493506493507,0.2727272727272727
EMP::EMP00016,91-180d,318,65,441.13084112149534,0.20440251572327045
EMP::EMP00016,181-365d,739,131,455.6178428761651,0.17726657645466848
EMP::EMP00016,365d+,1853,378,452.82835820895525,0.20399352401511064
EMP::EMP00017,31-90d,51,15,365.47058823529414,0.29411764705882354
EMP::EMP00017,91-180d,270,52,444.6654411764706,0.1925925925925926
EMP::EMP00017,181-365d,710,130,448.9418282548476,0.18309859154929578
EMP::EMP00017,365d+,1831,355,460.4185921547555,0.1938831239759694
EMP::EMP00018,31-90d,57,13,474.4655172413793,0.22807017543859648
EMP::EMP00018,91-180d,151,32,417.8618421052632,0.2119205298013245
EMP::EMP00018,181-365d,410,95,467.03365384615387,0.23170731707317074
EMP::EMP00018,365d+,1592,311,447.1002475247525,0.19535175879396985
EMP::EMP00019,31-90d,85,24,483.69662921348316,0.2823529411764706
EMP::EMP00019,91-180d,273,61,435.79636363636365,0.22344322344322345
EMP::EMP00019,181-365d,518,103,469.6603053435114,0.19884169884169883
EMP::EMP00019,365d+,1538,308,443.2245817245817,0.20026007802340703
EMP::EMP00020,31-90d,20,5,446.45,0.25
EMP::EMP00020,91-180d,96,20,434.7395833333333,0.20833333333333334
EMP::EMP00020,181-365d,485,91,430.0209523809524,0.18762886597938144
EMP::EMP00020,365d+,1809,367,447.35466946484786,0.20287451630735212
EMP::EMP00021,31-90d,6,0,282.0,0.0
EMP::EMP00021,91-180d,53,16,430.50943396226415,0.3018867924528302
EMP::EMP00021,181-365d,383,75,451.2230769230769,0.195822454308094
EMP::EMP00021,365d+,1529,304,446.5958683021304,0.1988227599738391
EMP::EMP00022,31-90d,17,6,564.3529411764706,0.35294117647058826
EMP::EMP00022,91-180d,117,21,429.7457627118644,0.1794871794871795
EMP::EMP00022,181-365d,646,136,452.07142857142856,0.21052631578947367
EMP::EMP00022,365d+,1417,273,447.56106071179346,0.1926605504587156
EMP::EMP00023,31-90d,8,3,584.0,0.375
EMP::EMP00023,91-180d,93,18,433.9894736842105,0.1935483870967742
