call_hour_local,calls,contacted,contact_rate
0,3753,774,0.20623501199040767
1,3731,778,0.20852318413294024
2,3806,728,0.19127693116132422
3,3706,741,0.19994603345925527
4,3733,780,0.20894722743102062
5,3904,771,0.19748975409836064
6,3679,706,0.19189997281870072
7,3799,742,0.1953145564622269
8,3837,769,0.200416992442012
9,3619,734,0.20281845813760707
10,3759,754,0.200585262037776
11,3777,740,0.19592268996558115
12,3759,766,0.2037776004256451
13,3843,787,0.2047879260994015
14,3690,797,0.21598915989159892
15,3688,750,0.20336225596529284
16,3776,740,0.19597457627118645
17,3715,736,0.1981157469717362
18,3734,715,0.19148366363149438
19,3773,747,0.19798568778160616
20,3701,770,0.20805187787084573
21,3719,807,0.21699381554181232
22,3734,762,0.20407070166041777
23,3765,752,0.199734395750332
