campaign_id,campaign_name,channel,strategy_version,start_at,target_definition,end_at,recovered_amount
CMP0000071,30DPD_W1,MIXED,v3,2026-05-20 01:55:18,DPD>=60,2026-05-27 01:55:18,2117688.92
CMP0000006,BOUNCE,MIXED,legacy,2026-01-23 09:30:10,DPD>=60,2026-04-13 09:30:10,1938789.52
CMP0000072,30DPD_W1,WHATSAPP,v2,2026-04-07 15:47:41,DPD>=60,2026-05-31 15:47:41,1923233.19
CMP0000117,BOUNCE,VOICE,v3,2026-02-25 19:12:52,HIGH_RISK,2026-04-09 19:12:52,1883008.5300000003
CMP0000014,NPA_RECOVERY,SMS,v1,2026-01-08 18:14:10,DPD>=30,2026-02-13 18:14:10,1743245.92
CMP0000095,DIGITAL_FOLLOWUP,VOICE,legacy,2026-05-06 00:27:03,NPA,2026-05-12 00:27:03,1735460.78
CMP0000033,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-04-18 05:20:08,DPD>=30,2026-06-10 05:20:08,1662518.79
CMP0000057,30DPD_W1,MIXED,v3,2026-04-29 15:21:02,NPA,2026-07-13 15:21:02,1628274.0999999999
CMP0000001,DIGITAL_FOLLOWUP,FIELD,legacy,2026-02-17 06:56:01,DPD>=30,2026-04-24 06:56:01,1625737.8400000003
CMP0000058,BOUNCE,VOICE,legacy,2026-05-13 19:45:30,NPA,2026-05-27 19:45:30,1602113.24
CMP0000118,30DPD_W1,FIELD,v3,2026-03-07 10:51:06,DPD>=60,2026-05-11 10:51:06,1597114.8800000001
CMP0000109,NPA_RECOVERY,MIXED,v1,2026-04-10 13:23:53,DPD>=60,2026-07-05 13:23:53,1590081.0699999998
CMP0000025,30DPD_W1,FIELD,legacy,2026-02-27 19:43:17,HIGH_RISK,2026-03-09 19:43:17,1543212.51
CMP0000002,BOUNCE,MIXED,v2,2026-04-30 17:51:31,DPD>=60,2026-05-18 17:51:31,1516126.76
CMP0000008,NPA_RECOVERY,SMS,v2,2026-05-21 10:58:25,PROMISE_BROKEN,2026-06-27 10:58:25,1511903.37
CMP0000039,DIGITAL_FOLLOWUP,SMS,v3,2026-01-10 21:08:43,PROMISE_BROKEN,2026-02-12 21:08:43,1494819.68
CMP0000114,60DPD_INTENT,SMS,legacy,2026-01-24 03:20:49,PROMISE_BROKEN,2026-02-21 03:20:49,1485718.4900000002
CMP0000028,30DPD_W1,SMS,legacy,2026-01-28 06:41:32,HIGH_RISK,2026-02-22 06:41:32,1467678.8299999998
CMP0000065,30DPD_W1,WHATSAPP,v3,2026-04-15 00:12:07,DPD>=30,2026-05-08 00:12:07,1456355.7600000002
