state,city,accounts,recovered_amount,outstanding_amount,recovery_rate
Delhi,Delhi,6705,306937795.54,2729036236.56,0.11247113227301837
Odisha,Bhubaneswar,6756,300136560.27,2762058423.76,0.10866408823511524
Maharashtra,Pune,6563,291176570.58,2632760176.71,0.11059745325678148
Telangana,Hyderabad,6621,290343079.46,2667930574.49,0.10882707452591858
Tamil Nadu,Chennai,6608,290059614.62,2702010804.05,0.10734953915995982
Maharashtra,Mumbai,6285,287294656.45,2570551634.27,0.11176381466913718
West Bengal,Kolkata,6359,285929640.83,2563735521.18,0.11152852486842962
Rajasthan,Jaipur,6475,285797036.35,2617952548.66,0.10916814993315496
Karnataka,Bengaluru,6585,284683270.16,2635294997.17,0.10802709771229282
Haryana,Gurugram,6412,279002386.78,2602883993.36,0.1071897124465553
,,2913,109913523.26,1006584957.39,0.10919448224717922
