month,dpd_bucket,risk_segment,accounts,outstanding
2026-01,current,HIGH,120,45222682.900000006
2026-01,current,LOW,118,41427181.22999999
2026-01,current,MEDIUM,133,47911188.589999996
2026-01,current,NPA,112,42580331.480000004
2026-01,1-30,HIGH,526,186322122.38
2026-01,1-30,LOW,516,182947821.33
2026-01,1-30,MEDIUM,518,183599906.26
2026-01,1-30,NPA,531,184989006.37
2026-01,31-60,HIGH,285,99455292.16
2026-01,31-60,LOW,307,108166883.97
2026-01,31-60,MEDIUM,260,92782222.74000001
2026-01,31-60,NPA,265,91907842.46
2026-01,61-90,HIGH,254,85364939.0
2026-01,61-90,LOW,257,87719227.16999999
2026-01,61-90,MEDIUM,245,82660072.29
2026-01,61-90,NPA,254,89472133.1
2026-01,90+,HIGH,248,81432672.53999999
2026-01,90+,LOW,269,92086459.31
2026-01,90+,MEDIUM,258,87890864.1
2026-01,90+,NPA,256,90790693.45
2026-02,current,HIGH,127,47121614.72
2026-02,current,LOW,129,47401921.58
2026-02,current,MEDIUM,106,37618578.379999995
2026-02,current,NPA,109,38841020.429999985
2026-02,1-30,HIGH,493,173125817.44
2026-02,1-30,LOW,474,165498178.89
2026-02,1-30,MEDIUM,506,177990083.13
2026-02,1-30,NPA,456,160894530.54000002
2026-02,31-60,HIGH,218,79363677.31
2026-02,31-60,LOW,259,90218680.94
2026-02,31-60,MEDIUM,211,71968359.31
2026-02,31-60,NPA,242,82611230.12
2026-02,61-90,HIGH,219,77017600.28
2026-02,61-90,LOW,234,76632524.86000001
2026-02,61-90,MEDIUM,250,88194544.44
2026-02,61-90,NPA,230,76409072.08000001
2026-02,90+,HIGH,229,84613060.58000001
2026-02,90+,LOW,229,79870268.18
2026-02,90+,MEDIUM,200,63902025.11
2026-02,90+,NPA,239,83884833.64000002
2026-03,current,HIGH,132,46233113.67999999
2026-03,current,LOW,111,37855551.94000001
2026-03,current,MEDIUM,137,47915154.81
2026-03,current,NPA,118,44737338.61000001
2026-03,1-30,HIGH,500,174381921.98000002
2026-03,1-30,LOW,507,184064908.64999998
2026-03,1-30,MEDIUM,547,188603294.88
2026-03,1-30,NPA,495,176763638.45999998
2026-03,31-60,HIGH,256,93092908.24000001
2026-03,31-60,LOW,286,98503257.67
2026-03,31-60,MEDIUM,248,83446603.17999999
2026-03,31-60,NPA,223,71691667.55
2026-03,61-90,HIGH,247,80634749.37
2026-03,61-90,LOW,237,87039451.32
2026-03,61-90,MEDIUM,269,90155240.5
2026-03,61-90,NPA,226,70021124.72
2026-03,90+,HIGH,276,95881633.44999999
2026-03,90+,LOW,285,104172297.68
2026-03,90+,MEDIUM,271,93196423.37
2026-03,90+,NPA,295,102031832.34
2026-04,current,HIGH,134,47923948.36
2026-04,current,LOW,136,48436364.03
2026-04,current,MEDIUM,143,52526179.53
2026-04,current,NPA,115,41105148.68999999
2026-04,1-30,HIGH,506,177905381.3
2026-04,1-30,LOW,466,156498439.90000004
2026-04,1-30,MEDIUM,500,175050722.3
2026-04,1-30,NPA,498,174684781.61999997
2026-04,31-60,HIGH,266,92512973.96
2026-04,31-60,LOW,302,101195532.97
2026-04,31-60,MEDIUM,250,86066698.2
2026-04,31-60,NPA,289,95391488.53999999
2026-04,61-90,HIGH,261,88260855.08000001
2026-04,61-90,LOW,232,83233920.25999999
2026-04,61-90,MEDIUM,250,86789219.24000001
2026-04,61-90,NPA,246,85946397.47
2026-04,90+,HIGH,244,87304946.01
2026-04,90+,LOW,260,89712526.89
2026-04,90+,MEDIUM,237,84973976.42
2026-04,90+,NPA,250,88989291.77000001
2026-05,current,HIGH,129,48267393.67
2026-05,current,LOW,128,46150630.08
2026-05,current,MEDIUM,130,44106211.33
2026-05,current,NPA,136,47856848.099999994
2026-05,1-30,HIGH,526,173806216.37
2026-05,1-30,LOW,534,188900732.17000002
2026-05,1-30,MEDIUM,551,191720743.63
2026-05,1-30,NPA,524,190563525.67000002
2026-05,31-60,HIGH,263,88670545.11
2026-05,31-60,LOW,273,97160367.44
2026-05,31-60,MEDIUM,248,89586784.19
2026-05,31-60,NPA,275,94680626.95000002
2026-05,61-90,HIGH,251,86225141.39000002
2026-05,61-90,LOW,266,92263625.46000001
2026-05,61-90,MEDIUM,267,98385000.54
2026-05,61-90,NPA,252,83431581.96000001
2026-05,90+,HIGH,254,91958985.64
2026-05,90+,LOW,269,93742539.78999999
2026-05,90+,MEDIUM,270,91307029.52000001
